Domain,Agency,Participates in DAP?
404.gov,Securities and Exchange Commission,No
9-11commission.gov,National Archives and Records Administration,No
911.gov,Department of Transportation,Yes
911commission.gov,National Archives and Records Administration,No
abandonedmines.gov,Department of the Interior,No
abilityone.gov,Comm for People Who Are Blind/Severly Disabled,No
abmc.gov,American Battle Monuments Commission,No
access-board.gov,U. S. Access Board,Yes
achp.gov,Advisory Council on Historic Preservation,No
acl.gov,Department of Health And Human Services,No
acquisition.gov,General Services Administration,Yes
acus.gov,Administrative Conference of the United States,No
acwi.gov,Department of the Interior,Yes
ada.gov,Department of Justice,Yes
adf.gov,African Development Foundation,No
adlnet.gov,Department of Defense,Yes
admongo.gov,Federal Trade Commission,No
adr.gov,Department of Justice,Yes
advantage.gov,General Services Administration,No
afadvantage.gov,General Services Administration,Yes
aff.gov,Department of Agriculture,No
afrh.gov,Armed Forces Retirement Home,No
agingstats.gov,Department of Health And Human Services,No
ahrq.gov,Department of Health And Human Services,Yes
aids.gov,Department of Health And Human Services,Yes
airnow.gov,Environmental Protection Agency,Yes
alaskacenters.gov,Department of the Interior,Yes
alertaenlinea.gov,Federal Trade Commission,Yes
altusandc.gov,Department of Defense,Yes
alzheimers.gov,Department of Health And Human Services,No
ama.gov,Department of the Treasury,No
amberalert.gov,Department of Justice,Yes
americanlatinomuseum.gov,Department of the Interior,No
americathebeautifulquarters.gov,Department of the Treasury,Yes
americorpsweek.gov,Corporation for National & Community Service,No
ameslab.gov,Department of Energy,No
amtrakoig.gov,AMTRAK,No
anl.gov,Department of Energy,No
anstaskforce.gov,Department of the Interior,No
aoa.gov,Department of Health And Human Services,No
arc.gov,Appalachian Regional Commission,No
archives.gov,National Archives and Records Administration,Yes
arctic.gov,National Science Foundation,Yes
arcticgas.gov,National Science Foundation,No
arm.gov,Department of Energy,No
ars-grin.gov,Department of Agriculture,No
arts.gov,National Endowment for the Arts,No
asap.gov,Department of the Treasury,No
asc.gov,Appraisal Subcommittee,No
atf.gov,Department of Justice,Yes
autocommunities.gov,Department of Labor,Yes
aviationweather.gov,Department of Commerce,No
ayudaconmibanco.gov,Department of the Treasury,Yes
bankanswers.gov,Department of the Treasury,Yes
bankcustomer.gov,Department of the Treasury,Yes
bankcustomerassistance.gov,Department of the Treasury,Yes
bankhelp.gov,Department of the Treasury,Yes
banknet.gov,Department of the Treasury,No
bbg.gov,International Broadcasting Bureau,No
bea.gov,Department of Commerce,Yes
benefits.gov,Department of Labor,Yes
bep.gov,Department of the Treasury,Yes
bfem.gov,Department of the Treasury,No
bia.gov,Department of the Interior,Yes
bioeco.gov,Department of the Interior,No
bioethics.gov,Department of Health And Human Services,No
biomassboard.gov,Department of Energy,No
biometrics.gov,Department of Homeland Security,No
biopreferred.gov,Department of Agriculture,No
bja.gov,Department of Justice,Yes
bjs.gov,Department of Justice,No
bldrdoc.gov,Department of Commerce,Yes
blm.gov,Department of the Interior,Yes
bls.gov,Department of Labor,Yes
bnl.gov,Department of Energy,No
boem.gov,Department of the Interior,No
boemre.gov,Department of the Interior,No
bondpro.gov,Department of the Treasury,Yes
bop.gov,Department of Justice,Yes
bpa.gov,Department of Energy,No
brac.gov,Department of Defense,Yes
broadband.gov,Federal Communications Commission,No
broadbandmap.gov,Federal Communications Commission,No
bsee.gov,Department of the Interior,No
buyaccessible.gov,General Services Administration,Yes
buyusa.gov,Department of Commerce,Yes
c3.gov,Department of the Interior,No
cancer.gov,Department of Health And Human Services,No
cao.gov,General Services Administration,Yes
cap.gov,Civil Air Patrol,No
capnhq.gov,Civil Air Patrol,No
casl.gov,Department of Energy,No
cbca.gov,General Services Administration,No
cbp.gov,Department of Commerce,Yes
ccac.gov,Department of the Treasury,Yes
ccr.gov,General Services Administration,No
cdc.gov,Department of Health And Human Services,Yes
cdfifund.gov,Department of the Treasury,Yes
cendi.gov,Department of Energy,No
census.gov,Department of Commerce,Yes
cfa.gov,U.S. Commission of Fine Arts,No
cfda.gov,General Services Administration,Yes
cflhd.gov,Department of Transportation,No
cfo.gov,General Services Administration,Yes
cftc.gov,Commodity Futures Trading Commission,No
challenge.gov,General Services Administration,Yes
change.gov,Executive Office of the President,No
chcoc.gov,Office of Personnel Management,Yes
childreninadversity.gov,U.S. Agency for International Development,No
childwelfare.gov,Department of Health And Human Services,No
choosemyplate.gov,Department of Agriculture,Yes
christophercolumbusfoundation.gov,Christopher Columbus Fellowship Foundation,Yes
cia.gov,Central Intelligence Agency,No
cio.gov,General Services Administration,Yes
civilianresponsecorps.gov,Department of State,Yes
civilrightsusa.gov,Department of Commerce,No
climate.gov,Department of Commerce,Yes
clinicaltrial.gov,Department of Health And Human Services,No
clinicaltrials.gov,Department of Health And Human Services,No
clintonlibrary.gov,National Archives and Records Administration,No
cms.gov,Department of Health And Human Services,No
cmts.gov,Department of Defense,Yes
cncsoig.gov,Corporation for National & Community Service,No
cnss.gov,Department of Defense,Yes
coast2050.gov,Department of the Interior,Yes
coastalamerica.gov,Department of Agriculture,Yes
collegedrinkingprevention.gov,Department of Health And Human Services,No
collegenavigator.gov,Department of Education,No
commerce.gov,Department of Commerce,Yes
comptrollerofthecurrency.gov,Department of the Treasury,Yes
computersforlearning.gov,General Services Administration,Yes
connect.gov,General Services Administration,Yes
consumer.gov,Federal Trade Commission,Yes
consumerfinance.gov,Consumer Financial Protection Bureau,No
consumersentinel.gov,Federal Trade Commission,No
consumidor.gov,Federal Trade Commission,Yes
continentalshelf.gov,Department of State,No
contractdirectory.gov,General Services Administration,No
coralreef.gov,Department of the Interior,Yes
counterwmd.gov,Director of National Intelligence,No
cpars.gov,General Services Administration,No
cpnireporting.gov,Department of Homeland Security,No
cpsc.gov,Consumer Product Safety Commission,Yes
crimesolutions.gov,Department of Justice,Yes
crimevictims.gov,Department of Justice,Yes
crt2014-2024review.gov,Department of Energy,No
csb.gov,U.S. Chemical Safety and Hazard Investigation Board,No
csosa.fed.us,Court Services and Offender Supervision,No
csosa.gov,Court Services and Offender Supervision,No
cttso.gov,Department of Defense,No
cuidadodesalud.gov,Department of Health And Human Services,No
cupcao.gov,Department of the Interior,No
cwc.gov,Department of State,Yes
data.gov,General Services Administration,Yes
dea.gov,Department of Justice,Yes
deadiversion.gov,Department of Justice,No
defense.gov,Department of Defense,Yes
denali.gov,Denali Commission,No
dfafacts.gov,U.S. Agency for International Development,No
dhs.gov,Department of Homeland Security,Yes
digitalgov.gov,General Services Administration,Yes
digitalliteracy.gov,Department of Commerce,Yes
directoasucuenta.gov,Department of the Treasury,No
disability.gov,Department of Labor,Yes
disasterassistance.gov,Department of Homeland Security,Yes
disasterhousing.gov,Department of Housing And Urban Development,No
distracteddriving.gov,Department of Transportation,Yes
distraction.gov,Department of Transportation,Yes
dnfsb.gov,Defense Nuclear Facilities Safety Board,No
dni.gov,Director of National Intelligence,No
dnsops.gov,Department of Commerce,No
docline.gov,Department of Health And Human Services,No
dod.gov,Department of Defense,No
doi.gov,Department of the Interior,Yes
doioig.gov,Department of the Interior,No
dol-esa.gov,Department of Labor,No
dol.gov,Department of Labor,Yes
doleta.gov,Department of Labor,Yes
