domain,agency,https,https_forced,hsts,grade
18f.gov,General Services Administration,Yes,Yes,Yes,A+
404.gov,Securities and Exchange Commission,No,,,
9-11commission.gov,National Archives and Records Administration,No,,,
911.gov,Department of Transportation,No,,,
911commission.gov,National Archives and Records Administration,No,,,
aapi.gov,Department of Education,No,,,
abandonedmines.gov,Department of the Interior,Yes,No,No,A
abilityone.gov,Comm for People Who Are Blind/Severly Disabled,No,,,
abmc.gov,American Battle Monuments Commission,Yes*,No,No,B
access-board.gov,U. S. Access Board,Yes,No,No,F
acf.gov,Department of Health And Human Services,No,,,
achp.gov,Advisory Council on Historic Preservation,No,,,
acl.gov,Department of Health And Human Services,No,,,
acquisition.gov,General Services Administration,Yes*,Yes,No,B
acus.gov,Administrative Conference of the United States,Yes,Yes,"Yes, and preload-ready",A-
acwi.gov,Department of the Interior,No,,,
ada.gov,Department of Justice,No,,,
adf.gov,African Development Foundation,No,,,
adlnet.gov,Department of Defense,No,,,
admongo.gov,Federal Trade Commission,No,,,
adr.gov,Department of Justice,No,,,
advantage.gov,General Services Administration,No,,,
afadvantage.gov,General Services Administration,Yes,Yes,No,C
aff.gov,Department of Agriculture,Yes,No,No,B
afrh.gov,Armed Forces Retirement Home,Yes*,Yes,No,C
africanamericanhistorymonth.gov,Library of Congress,No,,,
afterschool.gov,Department of Health And Human Services,No,,,
agingstats.gov,Department of Health And Human Services,No,,,
ahcpr.gov,Department of Health And Human Services,No,,,
ahrq.gov,Department of Health And Human Services,No,,,
aids.gov,Department of Health And Human Services,Yes,Yes,"Yes, and preload-ready",A+
airnow.gov,Environmental Protection Agency,Yes*,No,No,
alaskacenters.gov,Department of the Interior,No,,,
alertaenlinea.gov,Federal Trade Commission,Yes,No,No,C
altusandc.gov,Department of Defense,No,,,
alzheimers.gov,Department of Health And Human Services,No,,,
ama.gov,Department of the Treasury,Yes,Yes,No,C
amberalert.gov,Department of Justice,No,,,
america.gov,Department of State,Yes*,No,No,
americanjobcenter.gov,General Services Administration,No,,,
americanlatinomuseum.gov,Department of the Interior,No,,,
americanmemory.gov,Library of Congress,No,,,
americasgreatoutdoors.gov,Department of the Interior,No,,,
americasheroesatwork.gov,Department of Labor,No,,,
americaslibrary.gov,Library of Congress,No,,,
americasstory.gov,Library of Congress,No,,,
americastory.gov,Library of Congress,No,,,
americathebeautifulquarters.gov,Department of the Treasury,No,,,
americore.gov,Corporation for National & Community Service,No,,,
americorp.gov,Corporation for National & Community Service,No,,,
americorps.gov,Corporation for National & Community Service,No,,,
americorpsconnect.gov,Corporation for National & Community Service,No,,,
americorpsweek.gov,Corporation for National & Community Service,No,,,
ameslab.gov,Department of Energy,Yes,Yes,No,B
amtrakoig.gov,AMTRAK,Yes,Yes,No,C
anl.gov,Department of Energy,No,,,
annualcreditreport.gov,Federal Trade Commission,No,,,
anstaskforce.gov,Department of the Interior,Yes*,No,No,
aoa.gov,Department of Health And Human Services,No,,,
aoc.gov,The Legislative Branch (Congress),No,,,
ap.gov,Department of Commerce,No,,,
applicationmanager.gov,Office of Personnel Management,Yes,Yes,No,B
apps.gov,General Services Administration,Yes*,No,No,
arc.gov,Appalachian Regional Commission,No,,,
archives.gov,National Archives and Records Administration,No,,,
arctic.gov,National Science Foundation,Yes*,No,No,
arcticgas.gov,National Science Foundation,Yes*,No,No,
arm.gov,Department of Energy,Yes,No,No,A
ars-grin.gov,Department of Agriculture,No,,,
arts.gov,National Endowment for the Arts,Yes*,No,No,
asap.gov,Department of the Treasury,Yes,Yes,No,C
asc.gov,Appraisal Subcommittee,Yes,Yes,No,C
asianpacificheritage.gov,Library of Congress,No,,,
askkaren.gov,Department of Agriculture,No,,,
astrongmiddleclass.gov,Executive Office of the President,Yes,No,No,A
atf.gov,Department of Justice,Yes,Yes,Yes,A+
atvsafety.gov,Consumer Product Safety Commission,No,,,
autocommunities.gov,Department of Labor,No,,,
aviationweather.gov,Department of Commerce,Yes,No,No,C
ayudaconmibanco.gov,Department of the Treasury,No,,,
bam.gov,Department of Health And Human Services,No,,,
bankanswers.gov,Department of the Treasury,No,,,
bankcustomer.gov,Department of the Treasury,No,,,
bankcustomerassistance.gov,Department of the Treasury,No,,,
bankhelp.gov,Department of the Treasury,No,,,
banknet.gov,Department of the Treasury,No,,,
bankruptcy.gov,The Judicial Branch (Courts),No,,,
bbg.gov,International Broadcasting Bureau,No,,,
