Domain,Branch,Agency,Redirect,Uses HTTPS,Enforces HTTPS,Strict Transport Security (HSTS),SSL Labs Grade
18f.gov,executive,General Services Administration,Yes,Yes,Yes,Yes,A+
404.gov,executive,Securities and Exchange Commission,No,No,,,
9-11commission.gov,executive,National Archives and Records Administration,No,No,,,
911.gov,executive,Department of Transportation,No,No,,,
911commission.gov,executive,National Archives and Records Administration,No,No,,,
aapi.gov,executive,Department of Education,Yes,No,,,
abandonedmines.gov,executive,Department of the Interior,No,Yes,No,No,A
abilityone.gov,executive,Comm for People Who Are Blind/Severly Disabled,No,No,,,
abmc.gov,executive,American Battle Monuments Commission,No,Yes,Yes,No,A
access-board.gov,executive,U. S. Access Board,No,Yes,No,No,A-
acf.gov,executive,Department of Health And Human Services,Yes,No,,,
achp.gov,executive,Advisory Council on Historic Preservation,No,No,,,
acl.gov,executive,Department of Health And Human Services,No,No,,,
acquisition.gov,executive,General Services Administration,No,Yes,Yes,No,B
acus.gov,executive,Administrative Conference of the United States,No,Yes,Yes,"Yes, and preloaded",A-
acwi.gov,executive,Department of the Interior,No,No,,,
ada.gov,executive,Department of Justice,No,No,,,
adf.gov,executive,African Development Foundation,No,No,,,
adlnet.gov,executive,Department of Defense,No,No,,,
admongo.gov,executive,Federal Trade Commission,No,No,,,
adr.gov,executive,Department of Justice,No,No,,,
advantage.gov,executive,General Services Administration,No,No,,,
afadvantage.gov,executive,General Services Administration,No,Yes,Yes,No,C
aff.gov,executive,Department of Agriculture,No,Yes,No,No,A
afrh.gov,executive,Armed Forces Retirement Home,No,Yes,Yes,No,C
africanamericanhistorymonth.gov,legislative,Library of Congress,No,No,,,
afterschool.gov,executive,Department of Health And Human Services,Yes,No,,,
agingstats.gov,executive,Department of Health And Human Services,No,No,,,
ahcpr.gov,executive,Department of Health And Human Services,Yes,No,,,
ahrq.gov,executive,Department of Health And Human Services,No,No,,,
aids.gov,executive,Department of Health And Human Services,No,Yes,Yes,"Yes, and preloaded",A+
airnow.gov,executive,Environmental Protection Agency,No,No,,,
alaskacenters.gov,executive,Department of the Interior,No,No,,,
alertaenlinea.gov,executive,Federal Trade Commission,No,Yes,No,No,A
altusandc.gov,executive,Department of Defense,No,No,,,
alzheimers.gov,executive,Department of Health And Human Services,No,No,,,
ama.gov,executive,Department of the Treasury,No,Yes,Yes,No,C
amberalert.gov,executive,Department of Justice,No,No,,,
america.gov,executive,Department of State,Yes,No,,,
americanjobcenter.gov,executive,General Services Administration,Yes,No,,,
americanlatinomuseum.gov,executive,Department of the Interior,No,No,,,
americanmemory.gov,legislative,Library of Congress,Yes,No,,,
americasgreatoutdoors.gov,executive,Department of the Interior,Yes,No,,,
americasheroesatwork.gov,executive,Department of Labor,Yes,No,,,
americaslibrary.gov,legislative,Library of Congress,No,No,,,
americasstory.gov,legislative,Library of Congress,Yes,No,,,
americastory.gov,legislative,Library of Congress,Yes,No,,,
americathebeautifulquarters.gov,executive,Department of the Treasury,No,No,,,
americore.gov,executive,Corporation for National & Community Service,Yes,No,,,
americorp.gov,executive,Corporation for National & Community Service,Yes,No,,,
americorps.gov,executive,Corporation for National & Community Service,Yes,No,,,
americorpsconnect.gov,executive,Corporation for National & Community Service,Yes,No,,,
americorpsweek.gov,executive,Corporation for National & Community Service,No,No,,,
ameslab.gov,executive,Department of Energy,No,Yes,Yes,No,A
amtrakoig.gov,executive,AMTRAK,No,Yes,Yes,No,C
anl.gov,executive,Department of Energy,No,No,,,
annualcreditreport.gov,executive,Federal Trade Commission,Yes,No,,,
anstaskforce.gov,executive,Department of the Interior,No,No,,,
aoa.gov,executive,Department of Health And Human Services,No,No,,,
aoc.gov,legislative,The Legislative Branch (Congress),No,No,,,
ap.gov,executive,Department of Commerce,Yes,No,,,
applicationmanager.gov,executive,Office of Personnel Management,Yes,Yes,Yes,No,A
apps.gov,executive,General Services Administration,Yes,No,,,
arc.gov,executive,Appalachian Regional Commission,No,No,,,
archives.gov,executive,National Archives and Records Administration,No,No,,,
arctic.gov,executive,National Science Foundation,No,No,,,
arcticgas.gov,executive,National Science Foundation,No,No,,,
arm.gov,executive,Department of Energy,No,Yes,No,No,A
ars-grin.gov,executive,Department of Agriculture,No,No,,,
arts.gov,executive,National Endowment for the Arts,No,No,,,
asap.gov,executive,Department of the Treasury,No,Yes,Yes,No,C
asc.gov,executive,Appraisal Subcommittee,No,Yes,Yes,No,C
asianpacificheritage.gov,legislative,Library of Congress,No,No,,,
askkaren.gov,executive,Department of Agriculture,Yes,No,,,
astrongmiddleclass.gov,executive,Executive Office of the President,Yes,Yes,No,No,A
atf.gov,executive,Department of Justice,No,Yes,Yes,Yes,A+
atvsafety.gov,executive,Consumer Product Safety Commission,Yes,No,,,
autocommunities.gov,executive,Department of Labor,No,No,,,
aviationweather.gov,executive,Department of Commerce,No,Yes,No,No,C
ayudaconmibanco.gov,executive,Department of the Treasury,No,No,,,
bam.gov,executive,Department of Health And Human Services,Yes,No,,,
bankanswers.gov,executive,Department of the Treasury,No,No,,,
bankcustomer.gov,executive,Department of the Treasury,No,No,,,
bankcustomerassistance.gov,executive,Department of the Treasury,No,No,,,
bankhelp.gov,executive,Department of the Treasury,No,No,,,
banknet.gov,executive,Department of the Treasury,No,No,,,
bankruptcy.gov,judicial,The Judicial Branch (Courts),Yes,No,,,
bbg.gov,executive,International Broadcasting Bureau,No,No,,,
bcfp.gov,executive,Consumer Financial Protection Bureau,Yes,No,,,
bea.gov,executive,Department of Commerce,No,Yes,No,No,A-
befoodsafe.gov,executive,Department of Agriculture,Yes,No,,,
benefits.gov,executive,Department of Labor,No,No,,,
bep.gov,executive,Department of the Treasury,No,No,,,
bestbonesforever.gov,executive,Department of Health And Human Services,Yes,No,,,
betobaccofree.gov,executive,Department of Health And Human Services,Yes,No,,,
bfelob.gov,executive,Department of Education,Yes,Yes,Yes,"Yes, and preloaded",B
bfem.gov,executive,Department of the Treasury,No,Yes,No,No,A
bia.gov,executive,Department of the Interior,No,No,,,
bioeco.gov,executive,Department of the Interior,No,No,,,
bioethics.gov,executive,Department of Health And Human Services,No,Yes,No,No,T
biomassboard.gov,executive,Department of Energy,No,No,,,
biometriccoe.gov,executive,Department of Justice,Yes,No,,,
biometrics.gov,executive,Department of Homeland Security,No,No,,,
biopreferred.gov,executive,Department of Agriculture,No,No,,,
bja.gov,executive,Department of Justice,No,Yes,Yes,No,F
bjs.gov,executive,Department of Justice,No,No,,,
bldrdoc.gov,executive,Department of Commerce,No,No,,,
blm.gov,executive,Department of the Interior,No,No,,,
blmntl.gov,executive,Department of the Interior,Yes,No,,,
bls.gov,executive,Department of Labor,No,No,,,
bnl.gov,executive,Department of Energy,No,No,,,
boem.gov,executive,Department of the Interior,No,No,,,
boemre.gov,executive,Department of the Interior,No,No,,,
bondpro.gov,executive,Department of the Treasury,No,No,,,
bop.gov,executive,Department of Justice,No,Yes,No,No,A
bpa.gov,executive,Department of Energy,No,Yes,No,No,C
brac.gov,executive,Department of Defense,No,No,,,
brc.gov,executive,Department of Energy,No,No,,,
broadband.gov,executive,Federal Communications Commission,No,No,,,
broadbandmap.gov,executive,Federal Communications Commission,No,Yes,No,No,B
browsetopics.gov,legislative,Government Printing Office,Yes,No,,,
bsee.gov,executive,Department of the Interior,No,Yes,No,No,B
bts.gov,executive,Department of Transportation,Yes,No,,,
budget.gov,executive,Executive Office of the President,Yes,Yes,No,No,A
buildingamerica.gov,executive,Department of Energy,Yes,No,,,
business.gov,executive,Small Business Administration,Yes,No,,,
businessusa.gov,executive,General Services Administration,Yes,Yes,No,No,A
buyaccessible.gov,executive,General Services Administration,No,No,,,
buyusa.gov,executive,Department of Commerce,No,No,,,
cancer.gov,executive,Department of Health And Human Services,No,No,,,
cancernet.gov,executive,Department of Health And Human Services,Yes,No,,,
cao.gov,executive,General Services Administration,No,Yes,Yes,"Yes, and preloaded",B
capitol.gov,legislative,The Legislative Branch (Congress),No,Yes,No,No,C
capitolflags.gov,legislative,The Legislative Branch (Congress),Yes,No,,,
capitolhill.gov,legislative,Library of Congress,Yes,No,,,
