Domain,Participates in Analytics
18f.gov,False
404.gov,False
9-11commission.gov,False
911.gov,True
911commission.gov,False
aapi.gov,False
abandonedmines.gov,False
abilityone.fed.us,False
abilityone.gov,False
abmc.gov,True
access-board-members.gov,False
access-board.gov,True
acf.gov,False
achp.gov,False
acl.gov,False
acquisition.gov,True
acus.gov,False
acwi.gov,True
ada.gov,True
adf.gov,False
adlnet.gov,True
admongo.gov,False
adr.gov,True
advantage.gov,False
afadvantage.gov,True
aff.gov,False
afrh.gov,False
africanamericanhistorymonth.gov,False
aftac.gov,False
afterschool.gov,False
ag.gov,False
agingstats.gov,False
ahcpr.gov,False
ahrq.gov,True
aids.gov,True
airnow.gov,True
alaskacenters.gov,True
alertaenlinea.gov,True
altusandc.gov,True
alzheimers.gov,False
ama.gov,False
amberalert.gov,True
america.gov,False
americanjobcenter.gov,False
americanlatinomuseum.gov,False
americanmemory.gov,False
americasgreatoutdoors.gov,False
americasheroesatwork.gov,False
americaslibrary.gov,False
americasstory.gov,False
americastory.gov,False
americathebeautifulquarters.gov,True
americore.gov,False
americorp.gov,False
americorps.gov,False
americorpsconnect.gov,False
americorpsweek.gov,False
ameslab.gov,False
amtrakoig.gov,False
anl.gov,False
annualcreditreport.gov,False
anstaskforce.gov,False
aoa.gov,False
aoc.gov,False
ap.gov,True
applicationmanager.gov,True
apps.gov,False
aqi.gov,False
arc.gov,False
archives.gov,True
arctic.gov,True
arcticgas.gov,False
arm.gov,False
ars-grin.gov,False
arsusda.gov,False
arts.gov,False
asap.gov,False
asc.gov,False
asianpacificheritage.gov,False
askkaren.gov,False
astrongmiddleclass.gov,False
atf.gov,True
atvsafety.gov,True
autocommunities.gov,True
aviationweather.gov,False
ayudaconmibanco.gov,True
bam.gov,False
bankanswers.gov,True
bankcustomer.gov,True
bankcustomerassistance.gov,True
bankhelp.gov,True
banknet.gov,False
bankruptcy.gov,False
bbg.gov,False
bcfp.gov,False
bea.gov,True
befoodsafe.gov,False
benefits.gov,True
bep.gov,True
bestbonesforever.gov,False
betobaccofree.gov,False
bfelob.gov,False
bfem.gov,False
bia.gov,True
bioeco.gov,False
bioethics.gov,False
biomassboard.gov,False
biometriccoe.gov,False
biometrics.gov,False
biopreferred.gov,False
biosecurityboard.gov,False
bja.gov,True
bjs.gov,False
bldrdoc.gov,True
blm.gov,False
blmntl.gov,False
bls.gov,True
bnl.gov,False
boem.gov,False
boemre.gov,False
bondpro.gov,True
bop.gov,True
bor.gov,False
bpa.gov,False
brac.gov,True
brc.gov,False
broadband.gov,False
broadbandmap.gov,False
browsetopics.gov,False
bsee.gov,False
bto.gov,False
bts.gov,False
budget.gov,False
buildingamerica.gov,False
business.gov,False
businessusa.gov,False
buyaccessible.gov,True
buyusa.gov,True
c3.gov,False
cancer.gov,False
cancernet.gov,False
cao.gov,True
cap.gov,False
capital.gov,False
capitol.gov,False
capitolflags.gov,False
capitolhill.gov,False
capnhq.gov,False
carboncyclescience.gov,False
casl.gov,False
