Domain,Grade,Signature Algorithm,Key Type,Key Size,Forward Secrecy,OCSP Stapling,Fallback SCSV,RC4,SSLv3,TLSv1.2,SPDY,Requires SNI,HTTP/2
18f.gov,A+,SHA256withRSA,RSA,2048,4,False,True,False,False,True,True,True,False
abandonedmines.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
abandonedmines.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
abandonedmines.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
abandonedmines.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
abandonedmines.gov,A,SHA1withRSA,RSA,2048,2,True,True,False,False,True,True,False,False
abmc.gov,B,SHA256withRSA,RSA,2048,1,False,True,True,False,True,False,False,False
access-board.gov,A-,SHA256withRSA,RSA,2048,0,False,True,False,False,True,False,False,False
acquisition.gov,B,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
acus.gov,A-,SHA256withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
afadvantage.gov,C,SHA1withRSA,RSA,2048,1,False,True,True,True,False,False,False,False
afadvantage.gov,C,SHA1withRSA,RSA,2048,1,False,True,True,True,False,False,False,False
aff.gov,B,SHA1withRSA,RSA,2048,4,False,False,True,False,True,False,False,False
aff.gov,B,SHA1withRSA,RSA,2048,4,False,False,True,False,True,False,False,False
afrh.gov,C,SHA1withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
aids.gov,A+,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
alertaenlinea.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
alertaenlinea.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,False,False,False,False,False,False
ama.gov,C,SHA256withRSA,RSA,2048,0,False,True,False,True,True,False,False,False
ameslab.gov,B,SHA256withRSA,RSA,2048,1,False,False,False,False,True,False,False,False
amtrakoig.gov,C,SHA256withRSA,RSA,2048,1,False,True,True,True,True,False,False,False
anl.gov,C,SHA1withRSA,RSA,2048,0,False,True,True,True,True,False,False,False
aoc.gov,A,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
applicationmanager.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
applicationmanager.gov,B,SHA256withRSA,RSA,2048,0,False,True,True,False,True,False,False,False
arm.gov,A,SHA256withRSA,RSA,2048,4,False,True,False,False,True,False,False,False
asap.gov,C,SHA256withRSA,RSA,2048,0,False,True,False,True,True,False,False,False
asc.gov,C,SHA256withRSA,RSA,2048,0,True,N/A,True,False,False,False,False,False
astrongmiddleclass.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
astrongmiddleclass.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
atf.gov,A+,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
aviationweather.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,True,False,False,False,False,False
aviationweather.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,True,False,False,False,False,False
aviationweather.gov,C,SHA256withRSA,RSA,2048,1,False,N/A,True,False,False,False,False,False
banknet.gov,F,SHA1withRSA,RSA,2048,0,False,False,True,False,True,False,False,False
bea.gov,A-,SHA1withRSA,RSA,2048,0,False,False,False,False,True,False,False,False
bfem.gov,C,SHA256withRSA,RSA,2048,4,False,N/A,False,False,False,False,False,False
bioethics.gov,T,SHA1withRSA,RSA,2048,1,False,True,True,True,True,False,False,False
biopreferred.gov,T,SHA256withRSA,RSA,2048,1,False,False,True,True,False,False,False,False
bja.gov,F,SHA256withRSA,RSA,2048,4,False,True,True,True,True,False,False,False
bja.gov,F,SHA256withRSA,RSA,2048,4,False,True,True,True,True,False,False,False
blm.gov,C,SHA1withRSA,RSA,2048,0,False,N/A,True,False,False,False,False,False
bnl.gov,C,SHA1withRSA,RSA,2048,0,False,N/A,False,False,False,False,False,False
bpa.gov,C,SHA1withRSA,RSA,2048,0,False,False,False,True,False,False,False,False
broadbandmap.gov,B,SHA256withRSA,RSA,2048,1,False,True,False,False,True,False,False,False
bsee.gov,B,SHA256withRSA,RSA,2048,0,True,False,True,True,True,False,False,False
budget.gov,A,SHA256withRSA,RSA,2048,2,False,True,False,False,True,False,False,False
